id,termo,contexto,categoria_sugerida,confianca,motivo,correto,categoria_corrigida
art001299,threat,a scenario-specific plan makes to the detection of [[threat]] targets compared to a baseline algorithmically-generated plan.,tecnica,alta,âncora técnica: detection,,
art009951,target,"useful life (RUL) involve indirect supervision, where the [[target]] variable is labeled as a function of another",tecnica,alta,âncora técnica: variable,,
art004160,strategy,"training stability and imaging plausibility, a multi-stage training [[strategy]] is designed by combining supervised warm-up, unpaired cycle-adversarial",tecnica,alta,âncora técnica: training,,
art000881,Adversarial,Generative [[Adversarial]] Network (GANs) is a machine learning model implemented,tecnica,alta,âncora técnica: network,,
art008921,Weapon,and their self-imposed moral ban on Lethal Autonomous [[Weapon]] Systems leave their armies vulnerable to sustaining mass,tecnica,alta,âncora técnica: autonomous,,
art003832,target,"can control the transferred energy according to the [[target]] value of energy, making the control more flexible",tecnica,alta,âncora técnica: value,,
art000587,attack,of hardware-aware attack methods with respect to different [[attack]] scenarios and objectives. The first is an adversarial,tecnica,alta,âncora técnica: adversarial,,
art003984,target,"to identify key interactions between ligand and protein [[target]] . Practically, this approach has applications in early",tecnica,alta,âncora técnica: protein,,
art005683,operation,"design. This process, called selection, constitutes the first [[operation]] in cartographic generalization. In this research, a method",tecnica,alta,âncora técnica: research,,
art001935,target,"the target is analyzed and quantified, and the [[target]] is classified by fuzzy clustering method. According to",tecnica,alta,âncora técnica: class,,
art000088,deployment,"systematically evaluate LLMs of varying sizes under real-world [[deployment]] scenarios, with a particular emphasis on CPU-based edge",tecnica,alta,âncora técnica: system,,
art003560,adversarial,"different types of GANs, in-depth understanding on the [[adversarial]] training process of the models remains a challenge",tecnica,alta,âncora técnica: training,,
art006753,deployment,patterns. An AI system asked to enumerate hidden [[deployment]] failures produced a catalogue that also describes the,tecnica,alta,âncora técnica: system,,
art009102,strategic,"Anglo-American context, digital humanities may be regarded as [[strategic]] label to bring together ongoing research activities in",tecnica,alta,âncora técnica: search,,
art004305,target,"underlying structural characteristics by learning to map the [[target]] domain to the source domain, thereby facilitating knowledge",tecnica,alta,âncora técnica: domain,,
art002745,target,dataset of NWPU-RESISC45 (NWPU-R45) and the self-built fine-grained [[target]] classification dataset called BIT-AFGR50. The experimental results demonstrate,tecnica,alta,âncora técnica: class,,
art002168,strategy,"paper, a novel three-layer coordinating optimization and control [[strategy]] involving fuzzy neural networks (FNNs) is proposed for",tecnica,alta,âncora técnica: optimization,,
art004654,strategy,an asymptotic Fisher information-based evidential learning strategy. This [[strategy]] enables the model to initially focus on unlabeled,tecnica,alta,âncora técnica: learning,,
art006797,strategy,Social help seeking (SHS) is an important [[strategy]] for successful self-regulated learning at all school levels.,tecnica,alta,âncora técnica: learning,,
art007230,strategy,result of the implementation of the flipped learning [[strategy]] . 3-Positive response from students towards the implementation,tecnica,alta,âncora técnica: learning,,
art006219,strategic,"blurring of actors with the scope of achieving [[strategic]] objectives by creating exploitable ambiguity. However, there has",figurativa,baixa,sem âncora técnica; revisar,,
art007744,strategic,for its citizens. The findings aim to inform [[strategic]] initiatives that promote a more harmonious relationship between,figurativa,baixa,sem âncora técnica; revisar,,
art004047,target,verify that the system achieves successful navigation to [[target]] locations with robust obstacle avoidance. The SAC algorithm,figurativa,baixa,sem âncora técnica; revisar,,
art003746,target,"technology, have advantages such as no need for [[target]] object cooperation, difficulty in forgery, and long-distance recognition.",figurativa,baixa,sem âncora técnica; revisar,,
art006748,operation,"makes use of weather information to improve feeder‐bus [[operation]] . First, the Bayes' rule is adopted to",figurativa,baixa,sem âncora técnica; revisar,,
art007675,strategic,preventive (prevention) and curative (cure). One of the [[strategic]] educational media used to prevent and overcome covid-19,figurativa,baixa,sem âncora técnica; revisar,,
art004525,threat,various emerging markets. Unauthenticated UAVs pose a significant [[threat]] if they intrude into aviation-sensitive areas. To address,figurativa,baixa,sem âncora técnica; revisar,,
art006782,threat,"perceives the marginalization of humans as a significant [[threat]] to applying social values in governance, especially when",figurativa,baixa,sem âncora técnica; revisar,,
art002780,strategy,"and not scalable. A remedy is a two-stage [[strategy]] , wherein the first stage uses an embedding-based",figurativa,baixa,sem âncora técnica; revisar,,
art002722,strategy,on both these cases; the proposed ANFIS control [[strategy]] better energy management between solar-wind and battery energy,figurativa,baixa,sem âncora técnica; revisar,,
art004040,strategy,This paper measures the impact of using clustering [[strategy]] in MANET and how this strategy can enhance,figurativa,baixa,sem âncora técnica; revisar,,
art003631,strategic,"was endorsed by all UN members, offers a [[strategic]] roadmap for a sustainable future and prosperity. All",figurativa,baixa,sem âncora técnica; revisar,,
art002542,operation,"has been presented to provide a reliable fault-isolation [[operation]] . Also, a comparison with currently available fault-tolerant",figurativa,baixa,sem âncora técnica; revisar,,
art002417,defense,Power utility allocates [[defense]] resources to prevent unscheduled load shedding due to,figurativa,baixa,sem âncora técnica; revisar,,
art008184,target,the FN condition OA performed better when the [[target]] stimulus was absent while YA showed no bias.,figurativa,baixa,sem âncora técnica; revisar,,
art000370,strategy,the feasibility and superiority of the proposed control [[strategy]] .,figurativa,baixa,sem âncora técnica; revisar,,
art004718,adversarial,security perimeter has expanded to include both classical [[adversarial]] ML threats and LLM-specific risks such as prompt,figurativa,baixa,sem âncora técnica; revisar,,
art002216,strategy,the recognition of offline roman characters. The main [[strategy]] is to extract statistical and similarity features using,figurativa,baixa,sem âncora técnica; revisar,,
art002593,strategy,"algorithm (EA) framework that integrates an eight-phase control [[strategy]] based on a vehicle movement relationship graph. Then,",figurativa,baixa,sem âncora técnica; revisar,,
art005704,strategy,ways in which workers seek recognition as a [[strategy]] for managing taint. This article uses Honneth's concept,figurativa,baixa,sem âncora técnica; revisar,,
