id,termo,contexto,categoria_sugerida,confianca,motivo,correto,categoria_corrigida
art003228,decision,Evolutionary [[decision]] fusion has applications in biometric authentication and verification.,tecnica,alta,âncora técnica: fusion,,
art000781,attention,a flow smoothing module based on the self- [[attention]] mechanism is proposed to predict the smoothing error,tecnica,alta,âncora técnica: mechanism,,
art009569,Intelligence,Abstract Artificial [[Intelligence]] (AI) has transitioned from conventional rule-driven systems to,tecnica,alta,âncora técnica: artificial,,
art009995,decision,"experimental validation. Our work aims to support clinical [[decision]] -making, cross-system educational initiatives, and integrated healthcare research,",tecnica,alta,âncora técnica: making,,
art000482,intelligence,"of these devices in mobile scenarios by artificial [[intelligence]] . However, the limited memory resources and computation",tecnica,alta,âncora técnica: artificial,,
art002466,intelligence,"the ability to in and out space, artificial [[intelligence]] technology innovative application in space transportation control has",tecnica,alta,âncora técnica: artificial,,
art001951,knowledge,"suppressing background interference. The latter transfers discriminative semantic [[knowledge]] from high-illumination auxiliary data to the low-light model,",tecnica,alta,âncora técnica: transfer,,
art002668,decision,we discuss the significance of risk assessment and [[decision]] support systems in prioritizing maintenance tasks and allocating,tecnica,alta,âncora técnica: support,,
art008295,intelligence,to assess the potential impact of the artificial [[intelligence]] development on usual philosophical problems. The work has,tecnica,alta,âncora técnica: artificial,,
art001076,knowledge,proposes a teacher-student network architecture based on a [[knowledge]] distillation mechanism for the specific subtype classification of,tecnica,alta,âncora técnica: base,,
art008163,decision,judicial perspective on having diverse voices at the [[decision]] making table and how can we increase the,tecnica,alta,âncora técnica: making,,
art003913,knowledge,"several public datasets, validating its effectiveness in temporal [[knowledge]] graph reasoning tasks and providing new research perspectives",tecnica,alta,âncora técnica: graph,,
art007549,agent,personalized tutoring as a part of the proposed [[agent]] -based software architecture. The relationships between components of,tecnica,alta,âncora técnica: software,,
art004193,thinking,"areas to mastered one, which students adopt divergent [[thinking]] and use their existing theoretical systems and logical",tecnica,alta,âncora técnica: system,,
art000247,aware,network architecture that incorporates energy harvesting and social- [[aware]] relays. The relay is powered by harvesting radio,tecnica,alta,âncora técnica: energy,,
art004546,knowledge,"present data, it cannot be concluded that a‐priori [[knowledge]] of the experimental outcome reduces the uncertainty in",tecnica,alta,âncora técnica: prior,,
art008921,intelligence,"their society. In contrast, Western culture regards artificial [[intelligence]] with paranoia, anxiety, and skepticism. As Eastern nations",tecnica,alta,âncora técnica: artificial,,
art006349,knowledge,"Western societies. Originality/value: The study adds to the [[knowledge]] base on consumer pre- and post-trip online behaviours,",tecnica,alta,âncora técnica: base,,
art003697,decision,"bogie welding decisions, this paper proposes a hybrid [[decision]] -making method and develops a corresponding intelligent system.",tecnica,alta,âncora técnica: making,,
art009855,decision,"learning (ML) models, especially decision trees (DT) and [[decision]] trees supported by genetic algorithms (DT-GA). With the",tecnica,alta,âncora técnica: tree,,
art007227,knowledge,"be included within this group, consequently enriching our [[knowledge]] on the materials, technologies, and techniques used in",figurativa,baixa,sem âncora técnica; revisar,,
art009816,understanding,increase children's learning motivation and help strengthen their [[understanding]] of two-dimensional shapes.Methods: The research combines Waterfall and,figurativa,baixa,sem âncora técnica; revisar,,
art000670,awareness,dealing with it keep thinking positive. Increasing self- [[awareness]] and acting ethically will not result in something,figurativa,baixa,sem âncora técnica; revisar,,
art007348,knowledge,potential to further understand and correct the obtained [[knowledge]] . Our study shows in comparison to multilayer,figurativa,baixa,sem âncora técnica; revisar,,
art004824,perception,"In this paper, we propose an adaptively spatiotemporal [[perception]] aware quantization algorithm to increase subjective coding performance.",figurativa,baixa,sem âncora técnica; revisar,,
art003416,understanding,These info graphic visuals will provide a better [[understanding]] to the user as to how the situation,figurativa,baixa,sem âncora técnica; revisar,,
art005837,understanding,network relationship strength on CCB. Our findings extend [[understanding]] of how CCB arises in social enterprises and,figurativa,baixa,sem âncora técnica; revisar,,
art002212,knowledge,the free space. The ontology provides an evolvable [[knowledge]] model that can support simulated task-related information in,figurativa,baixa,sem âncora técnica; revisar,,
art008432,learn,their analysis. Results of a two-part questionnaire to [[learn]] students’ views on course content and use of,figurativa,baixa,sem âncora técnica; revisar,,
art005667,knowledge,effective in decreasing anxiety and increasing perception of [[knowledge]] . Strategies used in the class include asynchronous,figurativa,baixa,sem âncora técnica; revisar,,
art005965,intelligent,to choose appropriate technologies and measures based on [[intelligent]] traffic management cases. This enhances data quality monitoring,figurativa,baixa,sem âncora técnica; revisar,,
art007076,decide,to favour low-effort strategies that help us to [[decide]] faster and simple strategies to approach a complex,figurativa,baixa,sem âncora técnica; revisar,,
art000780,attention,"data. Recent adaptive margin-based loss functions pay more [[attention]] to hard (misclassified) samples, resulting in more discriminative",figurativa,baixa,sem âncora técnica; revisar,,
art004711,intelligent,"people's life, such as intelligent wristbands, sweeping robots, [[intelligent]] learning machines and so on, which can simply",figurativa,baixa,sem âncora técnica; revisar,,
art000291,intelligent,"the past decade are surveyed. Firstly, the available [[intelligent]] optimization algorithms were reviewed. Then the application fields",figurativa,baixa,sem âncora técnica; revisar,,
art000779,know,cases the modifications are not straightforward and require [[know]] -how and/or new research. Gdansk University of Technology,figurativa,baixa,sem âncora técnica; revisar,,
art005518,knowledge,"environment serves as a useful tool for collaborative [[knowledge]] construction as a result of students' discussion (Salovaara,",figurativa,baixa,sem âncora técnica; revisar,,
art006169,learn,good. This means students have been motivated to [[learn]] using the Text Card media. The application of,figurativa,baixa,sem âncora técnica; revisar,,
art008077,raciocínio,"por ele mesmo, para que cada linha de [[raciocínio]] pudesse ser levada até o fim. Nessa contradição,",figurativa,baixa,sem âncora técnica; revisar,,
art007780,understand,"self-esteem and self-realization). Therefore, it is possible to [[understand]] that a motivated student is a student more",figurativa,baixa,sem âncora técnica; revisar,,
